Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,DB_ES\DB_ES.csproj,File,DB_ES\DB_ES.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.10  Empfehlung:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.8"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,DB_ES\DB_ES.csproj,File,DB_ES\DB_ES.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.10  Empfehlung:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.8"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,DB_ES\DB_ES.csproj,File,DB_ES\DB_ES.csproj,,,Microsoft.Extensions.Logging.Console 9.0.10,,,,,"Microsoft.Extensions.Logging.Console, 9.0.10  Empfehlung:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.8"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,DB_ES\DB_ES.csproj,File,DB_ES\DB_ES.csproj,,,Microsoft.Extensions.Logging.Debug 9.0.10,,,,,"Microsoft.Extensions.Logging.Debug, 9.0.10  Empfehlung:  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.8"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,DB_ES\DB_ES.csproj,File,DB_ES\DB_ES.csproj,,,Microsoft.Extensions.Caching.Memory 9.0.10,,,,,"Microsoft.Extensions.Caching.Memory, 9.0.10  Empfehlung:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.8"
NuGet.0001,Das NuGet-Paket ist nicht kompatibel,Active,Mandatory,1,DB_ES\DB_ES.csproj,File,DB_ES\DB_ES.csproj,,,Microsoft.Xaml.Behaviors.Wpf 1.1.135,,,,,"Microsoft.Xaml.Behaviors.Wpf, 1.1.135  Empfehlung:  Microsoft.Xaml.Behaviors.Wpf, 1.1.39"
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,DB_ES\DB_ES.csproj,File,DB_ES\DB_ES.csproj,,,,,,,,Aktuelles Zielframework: net8.0-windows Empfohlenes Zielframework: net10.0--windows
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,WpfApp\WpfApp.csproj,File,WpfApp\WpfApp.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.10  Empfehlung:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.8"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,WpfApp\WpfApp.csproj,File,WpfApp\WpfApp.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.10  Empfehlung:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.8"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,WpfApp\WpfApp.csproj,File,WpfApp\WpfApp.csproj,,,Microsoft.Extensions.Configuration 9.0.10,,,,,"Microsoft.Extensions.Configuration, 9.0.10  Empfehlung:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.8"
